scenario,filter_id,node_id,node_size,mean_introgressed_windows,mean_introgressed_fraction,mean_tract_count,mean_tract_length
one_pulse,1,cube0_cluster0,14,5211.5,0.17371666666666666,66.0,78140.50215256865
one_pulse,1,cube1_cluster0,18,5462.388888888889,0.18207962962962962,67.33333333333333,80541.64210125286
one_pulse,1,cube2_cluster0,18,5107.444444444444,0.17024814814814815,64.55555555555556,78542.90759384794
one_pulse,1,cube3_cluster0,19,5426.894736842105,0.18089649122807017,65.73684210526316,82163.5221475855
one_pulse,1,cube4_cluster0,18,5349.388888888889,0.17831296296296295,65.94444444444444,80407.41780170631
one_pulse,1,cube5_cluster0,19,5437.736842105263,0.18125789473684212,63.78947368421053,84584.9685723927
one_pulse,1,cube6_cluster0,16,5193.0,0.17309999999999998,65.0,79431.46110564908
one_pulse,1,cube7_cluster0,13,4918.153846153846,0.16393846153846156,65.07692307692308,75003.73939678782
one_pulse,2,cube1_cluster0,25,5398.84,0.17996133333333333,65.96,81305.90035338498
one_pulse,2,cube2_cluster0,89,5280.134831460674,0.17600449438202248,65.3932584269663,80190.55128476732
one_pulse,2,cube3_cluster0,38,5190.131578947368,0.17300438596491227,64.89473684210526,79247.5683973054
one_pulse,3,cube0_cluster0,10,5721.1,0.1907033333333333,65.5,86522.84260707228
one_pulse,3,cube1_cluster0,20,5540.6,0.18468666666666667,63.7,86422.27354122096
one_pulse,3,cube2_cluster0,22,5304.045454545455,0.17680151515151515,64.68181818181819,81471.49014605467
one_pulse,3,cube3_cluster0,37,5249.486486486487,0.17498288288288286,65.94594594594595,79227.53681748956
one_pulse,3,cube4_cluster0,30,5102.833333333333,0.17009444444444444,65.53333333333333,77325.21292955507
one_pulse,3,cube5_cluster0,15,5046.066666666667,0.16820222222222225,64.66666666666667,77195.36137621205
one_pulse,3,cube6_cluster0,3,4845.0,0.16149999999999998,62.333333333333336,76723.61305486628
one_pulse,3,cube6_cluster1,2,4272.0,0.14240000000000003,59.0,71431.93220338982
one_pulse,4,cube0_cluster0,9,4504.555555555556,0.15015185185185184,61.44444444444444,72440.72331274832
one_pulse,4,cube1_cluster0,32,4854.90625,0.16183020833333334,64.40625,74851.4956279932
one_pulse,4,cube2_cluster0,38,5154.236842105263,0.17180789473684213,65.57894736842105,78022.34465429423
one_pulse,4,cube3_cluster0,44,5480.75,0.18269166666666667,65.77272727272727,82838.71793156752
